DJK Allersberg,104002,ByTTV
DJK Altdorf,414003,ByTTV
DJK Arminia Bremerhaven,43,FTTB
DJK Arminia Eilendorf,157011,WTTV
DJK Arminia Erwitte,113041,WTTV
DJK Arnschwang,413004,ByTTV
DJK Aschaffenburg,101005,ByTTV
DJK Augsburg CCS,305031,ByTTV
DJK Augsburg-Lechhausen 1920 e.V.,309017,ByTTV
DJK Augsburg-Nord,309018,ByTTV
DJK B.-W. 1956 Münster,42034,HeTTV
DJK B.-W. Bieber,46001,HeTTV
DJK B.-W. Winkel 1954,35044,HeTTV
DJK BSC Mainz,321,RTTV
DJK BW Annen,111012,WTTV
DJK BW Avenwedde,189011,WTTV
DJK BW Bedburdyck,142003,WTTV
DJK BW Bielefeld,181024,WTTV
DJK BW Friesdorf,154022,WTTV
DJK BW Greven,172032,WTTV
DJK BW Hilden,141022,WTTV
DJK Bad Höhenstadt,415007,ByTTV
DJK Balzfeld,903,BaTTV
DJK Bardenberg,159003,WTTV
DJK Bayern Nürnberg,606016,ByTTV
DJK Bergheim,151003,WTTV
DJK Berufsfeuerwehr Franken Concordia,207027,ByTTV
DJK Betzdorf,001857,TTVR
DJK Bildstock,105,STTB
DJK Blau-Weiss Asterstein,001827,TTVR
DJK Blau-Weiß,1119,BTTV
DJK Blau-Weiß Hildesheim,2212920,TTVN
DJK Blau-Weiß Schinkel,4480700,TTVN
DJK Bleibtreu Münsterbusch,157031,WTTV
DJK Borussia Münster,172001,WTTV
DJK Brebersdorf,102007,ByTTV
DJK Buchholz,001979,TTVR
DJK Burghausen,102010,ByTTV
DJK Büdesheim,206,RTTV
DJK Concordia Fürth,104033,ByTTV
DJK Darching 1959 e.V.,312010,ByTTV
DJK Daxlanden,404,BaTTV
DJK Dellwig,145034,WTTV
DJK Dockendorf-Ingendorf,002803,TTVR
DJK Dockweiler,002185,TTVR
DJK Don Bosco Bamberg,205003,ByTTV
DJK Donaueschingen,26004,SbTTV
DJK Dudweiler,206,STTB
DJK Duggendorf,413025,ByTTV
DJK Duisburg-Buchholz,148039,WTTV
DJK Dörfles-Esbach,205021,ByTTV
DJK Dürrfeld,102012,ByTTV
DJK Ebnath,408016,ByTTV
DJK Eckartshausen,102093,ByTTV
DJK Eging,415017,ByTTV
DJK Eichstätt,101006,ByTTV
DJK Eintracht Borbeck,145006,WTTV
DJK Eintracht Börger,4410400,TTVN
DJK Eintracht Eitorf,156005,WTTV
DJK Eintracht Erle,176006,WTTV
DJK Eintracht Leverkusen-Rheindorf,153013,WTTV
DJK Eintracht Ludwigshaf.,140,PTTV
DJK Eintracht Ludwigshafen,140,PTTV
DJK Eintracht Papenburg,4412870,TTVN
DJK Eintracht Süd Nürnberg,207075,ByTTV
DJK Ellwangen,10014,TTVWH
DJK Elversberg,109,STTB
DJK Erbshausen-Sulzwiese,103008,ByTTV
DJK Erlenbach am Main,101017,ByTTV
DJK Ettmannsdorf,208015,ByTTV
DJK Ewaldi Aplerbeck,112028,WTTV
DJK Falke Nürnberg,207076,ByTTV
DJK Falkenberg,408014,ByTTV
DJK Falkenhorst Herne,111046,WTTV
DJK Forster Linde Aachen,157022,WTTV
DJK Fortuna Aachen,157004,WTTV
DJK Frankenberg Aachen,157025,WTTV
DJK Franz-Sales-Haus,145002,WTTV
DJK Friedrichsthal,115,STTB
DJK Friesenhagen,001691,TTVR
DJK GW Albersloh,172011,WTTV
DJK GW Amelsbüren,172050,WTTV
DJK GW Arnsberg,113014,WTTV
DJK GW Freisenbruch,145016,WTTV
DJK GW Gelmer,172006,WTTV
DJK Germania Hoisten,142021,WTTV
DJK Germania Kamen,112031,WTTV
DJK Germania Lenkerbeck,176036,WTTV
DJK Germania Neumarkt,413046,ByTTV
DJK Goldbach,101028,ByTTV
DJK Graf Sport Delbrück,187025,WTTV
DJK Gravenhorst,174007,WTTV
DJK Großostheim 1955 e.V.,101030,ByTTV
DJK Gänheim,102019,ByTTV
DJK Göggingen,305013,ByTTV
DJK Göggingen e. V.,309040,ByTTV
DJK Gütersloh,189017,WTTV
DJK Hafner Straubing,415075,ByTTV
DJK Happertshausen,102033,ByTTV
DJK Haselbach,415027,ByTTV
DJK Hehn,143026,WTTV
DJK Heigenbrücken,101034,ByTTV
DJK Helvetia Bad Homburg-Kirdorf,31015,HeTTV
DJK Herdorf,001194,TTVR
DJK Herforst,002275,TTVR
DJK Hergolshausen e.V.,102036,ByTTV
DJK Herhahn-Morsbach,155006,WTTV
DJK Hermannia Dünnwald,153017,WTTV
DJK Heusweiler-TT,215,STTB
DJK Heuweiler,22031,SbTTV
DJK Ingolstadt,414034,ByTTV
DJK Irrel,002393,TTVR
DJK Jugend Eller,141003,WTTV
DJK Kahl,101044,ByTTV
DJK Karbach,101046,ByTTV
DJK Karlsbach,415034,ByTTV
DJK Katernberg 19,145028,WTTV
DJK Kempener LC,147007,WTTV
DJK Kiel,70189,TTVSH
DJK Kirchberg v. Wald,203006,ByTTV
DJK Kleinenbroich,142011,WTTV
DJK Kleinkahl 1986 e.V.,101050,ByTTV
DJK Kleinwallstadt,101052,ByTTV
DJK Krebeck,1082300,TTVN
DJK Käfertal,502,BaTTV
DJK Kösching,414043,ByTTV
DJK Laurensberg,157016,WTTV
DJK Leidersbach,101055,ByTTV
